scaffold_id	structure	bms	sk_struct	idx	closest_order	bucket_id	embedded_hs_coordinates	Dim_1	Dim_2
scaffold.504778	c1cc(-c2c3ccc(n3)c(-c3cc[nH+]cc3)c3ccc([nH]3)c(-c3cc[nH+]cc3)c3ccc([nH]3)c(-c3cc[nH+]cc3)c3ccc2n3)cc[nH+]1	C1=Cc2nc1c(-c1cc[nH+]cc1)c1nc(c(-c3cc[nH+]cc3)c3ccc([nH]3)c(-c3cc[nH+]cc3)c3ccc([nH]3)c2-c2cc[nH+]cc2)C=C1	48 0 0 9 0 16 9 0 8 0 0 0 8 8 0 0 0 8 0 0 0 0 0 0 0 0 12 4 12 10 0 10	854	54995	1013	29;3	29	3
scaffold.507617	O=C1/C(=C/c2ccccc2)N=C(c2ccccc2)N1C1Nc2cc3c(cc2S1)NC(N1C(=O)/C(=C/c2ccccc2)N=C1c1ccccc1)S3	O=C1/C(=C/c2ccccc2)N=C(c2ccccc2)N1C1Nc2cc3c(cc2S1)NC(N1C(=O)/C(=C/c2ccccc2)N=C1c1ccccc1)S3	48 2 4 9 0 6 7 2 12 0 2 0 10 10 0 2 2 6 0 0 0 6 4 0 6 4 4 6 0 14 4 14	855	54996	1013	29;3	29	3
scaffold.507558	O=C(/C=C/c1ccccc1)N1CCc2ccccc2[C@@]12CS[C@@H]1c3ccc4c(c3[C@@H](COC2=O)N2C[C@@H]3Cc5ccccc5[C@@H](N3)[C@H]12)OCO4	O=C(/C=C/c1ccccc1)N1CCc2ccccc2[C@@]12CS[C@@H]1c3ccc4c(c3[C@@H](COC2=O)N2C[C@@H]3Cc5ccccc5[C@@H](N3)[C@H]12)OCO4	48 3 4 11 1 10 4 5 11 0 1 3 7 9 0 1 5 3 0 0 0 1 7 0 2 1 14 3 15 24 2 24	856	54997	1013	29;3	29	3
scaffold.506228	O=C(Nc1ccccc1)c1cccc(-c2nc3ccccn3c2-c2ccnc(Nc3ccc(N4CCC(N5CCCCC5)CC4)cc3)n2)c1	O=C(Nc1ccccc1)c1cccc(-c2nc3ccccn3c2-c2ccnc(Nc3ccc(N4CCC(N5CCCCC5)CC4)cc3)n2)c1	48 3 5 8 0 6 6 0 14 0 0 0 14 9 0 0 1 8 0 0 0 4 2 0 1 0 7 4 5 14 1 14	857	54998	1013	29;3	29	3
scaffold.506230	O=C(Nc1ccccc1)c1cccc(-c2nc3ccccn3c2-c2ccnc(Nc3ccc(N4CCC(N5CCNCC5)CC4)cc3)n2)c1	O=C(Nc1ccccc1)c1cccc(-c2nc3ccccn3c2-c2ccnc(Nc3ccc(N4CCC(N5CCNCC5)CC4)cc3)n2)c1	48 3 5 8 0 6 6 0 15 0 0 0 15 10 0 0 1 9 0 0 0 4 4 0 1 0 7 4 5 14 1 14	858	54999	1013	29;3	29	3
scaffold.506617	O=C(NCCc1ccccc1)C1CC2C=CCN3CC[C@@]4(c5cc(C6C[C@H]7CCCN(CCc8c6[nH]c6ccccc86)C7)ccc5N[C@@H]14)[C@H]23	O=C(NCCc1ccccc1)C1CC2C=CCN3CC[C@@]4(c5cc(C6C[C@H]7CCCN(CCc8c6[nH]c6ccccc86)C7)ccc5N[C@@H]14)[C@H]23	48 4 5 10 1 9 4 3 9 0 0 0 9 6 0 0 1 5 0 0 0 0 0 0 1 0 12 6 12 27 1 27	859	55000	1013	29;3	29	3
scaffold.506827	O=C(/C=C/c1ccccc1)C[N@@+]12CCC[C@H](CC(c3ccc4c(c3)[C@@]35CCN6CC=CC(CC[C@@H]3N4)[C@H]65)c3[nH]c4ccccc4c3CC1)C2	O=C(/C=C/c1ccccc1)C[N@@+]12CCC[C@H](CC(c3ccc4c(c3)[C@@]35CCN6CC=CC(CC[C@@H]3N4)[C@H]65)c3[nH]c4ccccc4c3CC1)C2	48 4 5 10 1 9 4 3 11 0 0 0 11 5 0 0 1 4 0 0 0 0 0 0 0 1 11 5 11 23 1 23	860	55001	1013	29;3	29	3
scaffold.506561	O=C(NCCC1CC2C=CCN3CC[C@@]4(c5cc(C6C[C@H]7C=CCN(CCc8c6[nH]c6ccccc86)C7)ccc5N[C@@H]14)[C@H]23)c1ccccc1	O=C(NCCC1CC2C=CCN3CC[C@@]4(c5cc(C6C[C@H]7C=CCN(CCc8c6[nH]c6ccccc86)C7)ccc5N[C@@H]14)[C@H]23)c1ccccc1	48 4 5 10 1 9 4 4 9 0 0 0 9 6 0 0 1 5 0 0 0 0 0 0 1 0 12 6 12 27 1 27	861	55002	1013	29;3	29	3
scaffold.507797	O=C(Cc1ccccc1)N1CCC[C@H]1c1ncc(-c2ccc(-c3ccc(-c4cnc([C@@H]5CCCN5C(=O)Cc5ccccc5)[nH]4)cc3)cc2)[nH]1	O=C(Cc1ccccc1)N1CCC[C@H]1c1ncc(-c2ccc(-c3ccc(-c4cnc([C@@H]5CCCN5C(=O)Cc5ccccc5)[nH]4)cc3)cc2)[nH]1	48 4 6 8 0 6 6 0 10 0 0 0 10 8 0 0 2 6 0 0 0 2 6 0 2 0 7 2 2 12 2 12	862	55003	1013	29;3	29	3
scaffold.507822	O=C(Nc1ccc2[nH+]cccc2c1)c1ccc(-c2ccc(-c3ccc(-c4ccc(C(=O)Nc5ccc6[nH+]cccc6c5)cc4)cc3)cc2)cc1	O=C(Nc1ccc2[nH+]cccc2c1)c1ccc(-c2ccc(-c3ccc(-c4ccc(C(=O)Nc5ccc6[nH+]cccc6c5)cc4)cc3)cc2)cc1	48 4 6 8 0 6 8 0 4 0 0 0 4 6 0 0 2 4 0 0 0 0 0 0 2 0 5 2 0 14 2 14	863	55004	1013	29;3	29	3
scaffold.504862	c1ccc(Nc2cc[n+](Cc3ccc(-c4ccc(C[n+]5ccc(Nc6ccccc6)c6ccccc65)cc4)cc3)c3ccccc23)cc1	c1ccc(Nc2cc[n+](Cc3ccc(-c4ccc(C[n+]5ccc(Nc6ccccc6)c6ccccc65)cc4)cc3)c3ccccc23)cc1	48 4 8 8 0 6 8 0 8 0 0 0 8 4 0 0 0 4 0 0 0 0 0 0 0 0 7 4 4 12 0 12	864	55005	1013	29;3	29	3
scaffold.504860	c1ccc(Nc2cc[n+](Cc3cccc(-c4cccc(C[n+]5ccc(Nc6ccccc6)c6ccccc65)c4)c3)c3ccccc23)cc1	c1ccc(Nc2cc[n+](Cc3cccc(-c4cccc(C[n+]5ccc(Nc6ccccc6)c6ccccc65)c4)c3)c3ccccc23)cc1	48 4 8 8 0 6 8 0 8 0 0 0 8 4 0 0 0 4 0 0 0 0 0 0 0 0 7 6 4 10 0 10	865	55006	1013	29;3	29	3
scaffold.506215	O=C1OC[C@H]2CCC3C4=CC[C@H]5C[C@@H](O[C@@H]6OCCC[C@H]6O[C@H]6CC[C@H](O[C@H]7C[C@@H](O[C@H]8CCCCO8)CCO7)CO6)CCC5[C@H]4CC[C@@]132	O=C1OC[C@H]2CCC3C4=CC[C@H]5C[C@@H](O[C@@H]6OCCC[C@H]6O[C@H]6CC[C@H](O[C@H]7C[C@@H](O[C@H]8CCCCO8)CCO7)CO6)CCC5[C@H]4CC[C@@]132	48 4 8 9 1 6 0 1 9 0 0 9 0 10 0 0 10 0 0 0 0 4 3 0 1 0 5 6 2 10 1 10	866	55007	1013	29;3	29	3
scaffold.506209	O=C1OCC2CCC3C4=CC[C@H]5C[C@@H](O[C@@H]6OCCC[C@H]6O[C@H]6CC[C@H](O[C@H]7C[C@@H](O[C@H]8CCCCO8)CCO7)CO6)CCC5[C@@H]4CC[C@]123	O=C1OCC2CCC3C4=CC[C@H]5C[C@@H](O[C@@H]6OCCC[C@H]6O[C@H]6CC[C@H](O[C@H]7C[C@@H](O[C@H]8CCCCO8)CCO7)CO6)CCC5[C@@H]4CC[C@]123	48 4 8 9 1 6 0 1 9 0 0 9 0 10 0 0 10 0 0 0 0 4 3 0 1 0 5 6 2 10 1 10	867	55007	1013	29;3	29	3
