ID	Structure	bms	sk_struct	idx	closest_order	bucket_id	embedded_hs_coordinates	Dim_1	Dim_2
NCGC00095722-04	OC1=CC(=C2CC(OC(=O)C3=CC(=C(O)C(=C3)O)O)C(OC2=C1)C4=CC(=C(O)C(=C4)O)O)O	O=C(OC1Cc2ccccc2OC1c1ccccc1)c1ccccc1	24 2 3 4 0 6 3 1 2 0 0 2 0 3 0 0 3 0 0 0 0 0 1 0 1 0 3 2 1 6 1 6	123	35731	658	25;28	25	28
NCGC00488628-01	COC1C(O)C(C)OC(OCC2C(C)OC(=O)C=CC(C)C(OC3OC(C)CC4(OC(=O)OC4C)C3O)C(C)CC(C)C(=O)C=CC5OC25)C1OC	O=C1C=CC2OC2C(COC2CCCCO2)COC(=O)C=CCC(OC2CC3(CCO2)COC(=O)O3)CCC1	36 3 5 5 1 16 0 2 8 0 0 8 0 11 0 0 11 0 0 0 0 3 1 0 3 2 2 3 1 2 3 2	124	53724	989	27;5	27	5
NCGC00488603-01	COC1=C(C(=O)C2=C(C=C3CC(C)OC(=O)C3=C2O)C1=O)C4=C(OC)C(=O)C5=C(C(=C6C(=O)OC(C)CC6=C5)O)C4=O	O=C1OCCc2cc3c(cc21)C(=O)C(C1=CC(=O)c2cc4c(cc2C1=O)C(=O)OCC4)=CC3=O	28 0 0 6 0 6 4 2 2 0 0 2 0 8 0 0 8 0 0 0 0 0 0 0 2 5 4 4 0 8 6 8	125	45682	841	21;13	21	13
NCGC00488630-01	COC1C(O)C(C)OC(OCC2C=CC=CC(=O)C(C)CC(C)C(OC3OC(C)CC4(OC(=O)OC4C)C3O)C(C)C=CC(=O)OC2C)C1OC	O=C1C=CC=CC(COC2CCCCO2)COC(=O)C=CCC(OC2CC3(CCO2)COC(=O)O3)CCC1	35 3 5 4 1 16 0 3 7 0 0 7 0 10 0 0 10 0 0 0 0 3 1 0 3 3 0 2 0 1 3 1	126	53464	985	26;6	26	6
NCGC00488629-01	COC1C(O)C(C)OC(OCC2C(C)OC(=O)C=CC(C)C(OC3OC(C)CC4(OC(=O)OC4C)C3O)C(C)CC(C)C(=O)CCC5OC25)C1OC	O=C1CCCC(OC2CC3(CCO2)COC(=O)O3)CC=CC(=O)OCC(COC2CCCCO2)C2OC2CC1	36 3 5 5 1 16 0 1 8 0 0 8 0 11 0 0 11 0 0 0 0 3 1 0 3 1 2 3 1 2 3 2	127	53724	989	27;5	27	5
NCGC00355488-02	CC(C)CC1C2CC(C=C[C@@]2(C)OC3=C(C=O)C(=C(C=O)C(=C13)O)O)C(C)C	C1=CC2Oc3ccccc3CC2CC1	14 0 0 3 0 6 1 2 1 0 0 1 0 1 0 0 1 0 0 0 0 0 0 0 0 0 2 2 0 4 0 4	128	4083	76	11;2	11	2
NCGC00488572-01	CC1(C)C(Br)CC[C@@]23C[C@@]4(C)C2CC13CC4=O	O=C1CC23CCCC[C@]24CC1C4C3	12 0 0 6 2 6 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 3 2 2 6 1 6	129	2082	39	5;7	5	7
NCGC00488753-01	COC(C1NC(=O)C(C)NC(=O)C(CC(C)CO)N(C)C(=O)C(NC(=O)C(NC(=O)C(CC(C)C)N(C)C(=O)C(NC1=O)C(C)C)C(C)C=C(C)C)C(O)C2=C[N](C3=C2C=CC=C3)C(C)(C)C4CO4)C5=CC=CC=C5	O=C1CNC(=O)CNC(=O)C(Cc2ccccc2)NC(=O)CNC(=O)CNC(=O)C(Cc2cn(CC3CO3)c3ccccc23)NC(=O)CN1	42 3 6 5 0 21 3 0 11 0 0 1 10 16 0 0 8 8 0 0 0 0 8 0 7 0 3 4 2 5 7 5	130	54566	1005	31;5	31	5
NCGC00488458-01	OC1=CC=C(C=C1)C2CC(=O)C3=C(O2)C(=C(O)C=C3O)C4=C(O)C=CC(=C4)C5CC(=O)C6=C(O)C=C(O)C=C6O5	O=C1CC(c2cccc(-c3cccc4c3OC(c3ccccc3)CC4=O)c2)Oc2ccccc21	32 0 0 6 0 6 4 2 2 0 0 2 0 4 0 0 4 0 0 0 0 0 0 0 0 0 6 3 2 10 2 10	131	51171	942	18;1	18	1
NCGC00488545-01	OC1=CC=C(C=C1)C2C3C(C(C4=CC=C(O)C=C4)C5=C(O)C=C(O)C=C35)C6=C2C(=CC(=C6)O)O	c1ccc(C2c3ccccc3C3C(c4ccccc4)c4ccccc4C23)cc1	28 0 0 6 0 6 4 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 11 0 16 22 0 22	132	45692	842	21;12	21	12
NCGC00488452-01	CCCCCC1CCCCCCC(=O)CCC(=O)OCC2OC(OC3C(O)C(OC(C)=O)C(C)OC3O1)C(O)C(OC(=O)C(C)=CC)C2OC(=O)C=CC4=CC=CC=C4	O=C1CCCCCCCOC2OCCCC2OC2CCC(OC(=O)C=Cc3ccccc3)C(COC(=O)CC1)O2	37 4 5 4 0 20 1 0 6 0 0 6 0 9 0 0 9 0 0 0 0 2 4 0 2 1 2 2 0 3 3 3	133	53749	990	26;5	26	5
NCGC00488466-01	CCCCCC1OC(=O)C(C)N(C)C(=O)C(CCCCC)OC(=O)C(C)N(C)C(=O)C(CCCCC)OC(=O)C(C)N(C)C(=O)C(CCCCC)OC(=O)C(C)N(C)C1=O	O=C1COC(=O)CNC(=O)COC(=O)CNC(=O)COC(=O)CNC(=O)COC(=O)CN1	24 0 0 1 0 24 0 0 8 0 0 4 4 16 0 0 12 4 0 0 0 0 8 0 8 0 0 0 0 0 8 0	134	34816	641	24;24	24	24
NCGC00488467-01	CC(C)CC1N(C)C(=O)C(OC(=O)C(CC(C)C)N(C)C(=O)C(OC(=O)C(CC(C)C)N(C)C(=O)C(OC(=O)C(CC(C)C)N(C)C(=O)C(OC1=O)C(C)C)C(C)C)C(C)C)C(C)C	O=C1COC(=O)CNC(=O)COC(=O)CNC(=O)COC(=O)CNC(=O)COC(=O)CN1	24 0 0 1 0 24 0 0 8 0 0 4 4 16 0 0 12 4 0 0 0 0 8 0 8 0 0 0 0 0 8 0	135	34816	641	24;24	24	24
