Structure	ID	MOLLIBRARY	MOLLIBRARY_INT	MOLLIBRARY_INT_StdDev	logS	logS_StdDev	logS @ pH7.4	logS @ pH7.4_StdDev	logP	logP_StdDev	logD	logD_StdDev	2C9 pKi	2C9 pKi_StdDev	hERG pIC50	hERG pIC50_StdDev	BBB log([brain]:[blood])	BBB log([brain]:[blood])_StdDev	BBB category	BBB category_Probability	HIA category	HIA category_Probability	P-gp category	P-gp category_Probability	2D6 affinity category	2D6 affinity category_Probability	PPB90 category	PPB90 category_Probability	MW	MW_StdDev	HBD	HBD_StdDev	HBA	HBA_StdDev	TPSA	TPSA_StdDev	Flexibility	Flexibility_StdDev	Rotatable Bonds	Rotatable Bonds_StdDev
CCC(=O)NC(CC(C)C(Cl)(Cl)Cl)C(=O)N1C(CC(C)C(Cl)Cl)C(=CC1=O)OC	NCGC00488482-01	CANVASS	1	0	1.396	1.033	1.396	1.033	3.742	0.4351	3.742	0.4351	4.93	0.6013	4.349	0.87	-0.3415	inf	-	- = 0.77;+ = 0.23;	+	- = 0.0371353;+ = 0.962865;	yes	no = 0.38;yes = 0.62;	high	low = 0.133333;medium = 0.2;high = 0.6;very high = 0.0666667;	low	low = 0.73;high = 0.27;	510.7	0	1	0	6	0	75.71	0	0.4138	0	12	0
C\C=C(\C)C1=CC(=C(C)C2=C1OC3=CC(=CC(=C3C(=O)O2)C)O)O	NCGC00380825-02	CANVASS	1	0	0.8708	0.7036	0.8708	0.7036	3.786	0.4351	3.786	0.4351	5.57	0.6013	5.015	0.7487	-0.1844	inf	-	- = 0.72;+ = 0.28;	+	- = 0.0371353;+ = 0.962865;	no	no = 0.66;yes = 0.34;	medium	low = 0.2;medium = 0.6;high = 0.166667;very high = 0.0333333;	high	low = 0.41;high = 0.59;	326.3	0	2	0	5	0	75.99	0	0.03846	0	1	0
[NH]1C2=CC=CC=C2C3=NC4=C(C=CC=C4)C=C13	NCGC00488463-01	CANVASS	1	0	1.574	1.033	1.574	1.033	3.819	0.4351	3.819	0.4351	4.861	0.6013	5.312	0.5526	-0.1896	0.3585	+	- = 0.03;+ = 0.97;	+	- = 0.0371353;+ = 0.962865;	yes	no = 0.22;yes = 0.78;	medium	low = 0.2;medium = 0.6;high = 0.166667;very high = 0.0333333;	low	low = 0.59;high = 0.41;	218.3	0	1	0	2	0	28.68	0	0	0	0	0
COC1=C(OC)C=C(C=C1)C2C(C)C(C)C(=O)C3=C2C=C(OC)C(=C3)OC	NCGC00488565-01	CANVASS	1	0	1.458	0.7036	1.458	0.7036	3.848	0.4351	3.848	0.4351	5.571	0.6013	5.206	0.6278	0.3178	inf	-	- = 0.65;+ = 0.35;	+	- = 0.0371353;+ = 0.962865;	no	no = 0.74;yes = 0.26;	low	low = 0.454545;medium = 0.181818;high = 0.272727;very high = 0.0909091;	high	low = 0.4999;high = 0.5001;	370.4	0	0	0	5	0	53.99	0	0.1724	0	5	0
COC1=C(OC)C=C(C=C1)C2C(C)C(C)C(=O)C3=C2C=C(OC)C(=C3)OC	NCGC00488566-01	CANVASS	1	0	1.458	0.7036	1.458	0.7036	3.848	0.4351	3.848	0.4351	5.571	0.6013	5.206	0.6278	0.3178	inf	-	- = 0.65;+ = 0.35;	+	- = 0.0371353;+ = 0.962865;	no	no = 0.74;yes = 0.26;	low	low = 0.454545;medium = 0.181818;high = 0.272727;very high = 0.0909091;	high	low = 0.4999;high = 0.5001;	370.4	0	0	0	5	0	53.99	0	0.1724	0	5	0
CCC1C(C)C(C(C)C(C2=C(OC)C=C(OC)C(=C2)OC)[C@@]13C=C(OC)C(=O)C=C3OC)C4=CC(=C(OC)C=C4OC)OC	NCGC00488480-01	CANVASS	1	0	0.9689	1.033	0.9689	1.033	3.908	0.4351	3.908	0.4351	5.863	inf	5.346	1.17	-0.2311	inf	-	- = 0.75;+ = 0.25;	+	- = 0.16667;+ = 0.83333;	yes	no = 0.12;yes = 0.88;	low	low = 0.2501;medium = 0.249967;high = 0.249967;very high = 0.249967;	high	low = 0.42;high = 0.58;	610.7	0	0	0	9	0	90.91	0	0.234	0	11	0
CCC1C(C)C(C(C)C(C2=C(OC)C=C(OC)C(=C2)OC)[C@]13C=C(OC)C(=O)C=C3OC)C4=CC(=C(OC)C=C4OC)OC	NCGC00488479-01	CANVASS	1	0	0.9689	1.033	0.9689	1.033	3.908	0.4351	3.908	0.4351	5.863	inf	5.346	1.17	-0.2311	inf	-	- = 0.75;+ = 0.25;	+	- = 0.16667;+ = 0.83333;	yes	no = 0.12;yes = 0.88;	low	low = 0.2501;medium = 0.249967;high = 0.249967;very high = 0.249967;	high	low = 0.42;high = 0.58;	610.7	0	0	0	9	0	90.91	0	0.234	0	11	0
CCC1C(C)C(C(C)C(C2=C(OC)C=C(OC)C(=C2)OC)[C@@]13C=C(OC)C(=O)C=C3OC)C4=CC(=C(OC)C=C4OC)OC	NCGC00488478-01	CANVASS	1	0	0.9689	1.033	0.9689	1.033	3.908	0.4351	3.908	0.4351	5.863	inf	5.346	1.17	-0.2311	inf	-	- = 0.75;+ = 0.25;	+	- = 0.16667;+ = 0.83333;	yes	no = 0.12;yes = 0.88;	low	low = 0.2501;medium = 0.249967;high = 0.249967;very high = 0.249967;	high	low = 0.42;high = 0.58;	610.7	0	0	0	9	0	90.91	0	0.234	0	11	0
COC1=CC(=CC=C1O)CC(COC(=O)C=CC2=CC=C(O)C(=C2)OC)C(COC(=O)C=CC3=CC(=C(O)C=C3)OC)CC4=CC(=C(O)C=C4)OC	NCGC00488498-01	CANVASS	1	0	1.024	1.033	1.024	1.033	3.995	0.4351	3.995	0.4351	6.224	inf	5.798	1.128	-0.9304	inf	-	- = 0.85;+ = 0.15;	+	- = 0.4999;+ = 0.5001;	yes	no = 0.49;yes = 0.51;	low	low = 0.2501;medium = 0.249967;high = 0.249967;very high = 0.249967;	low	low = 0.58;high = 0.42;	714.8	0	4	0	12	0	170.4	0	0.3455	0	19	0
CC(CCC=C(C)CO)C1CC[C@]2(C)C3=CCC4C(C)(C)C(O)CC(O)[C@]4(C)C3C(O)C[C@@]12C	NCGC00488468-01	CANVASS	1	0	1.572	1.033	1.572	1.033	4.025	0.4351	4.025	0.4351	5.085	inf	5.39	1.159	-0.2066	inf	-	- = 0.58;+ = 0.42;	+	- = 0.0371353;+ = 0.962865;	yes	no = 0.16;yes = 0.84;	very high	low = 0.249967;medium = 0.249967;high = 0.249967;very high = 0.2501;	high	low = 0.46;high = 0.54;	474.7	0	4	0	4	0	80.92	0	0.1351	0	5	0
CC(C)=CCC[C@@](Cl)(CBr)C=C	NCGC00488569-01	CANVASS	1	0	2.961	0.7036	2.961	0.7036	4.026	0.4351	4.026	0.4351	4.489	0.6013	5.251	0.5197	0.5562	0.3585	+	- = 0.07;+ = 0.93;	+	- = 0.0371353;+ = 0.962865;	no	no = 0.86;yes = 0.14;	high	low = 0.0625;medium = 0.0625;high = 0.6875;very high = 0.1875;	low	low = 0.73;high = 0.27;	251.6	0	0	0	0	0	0	0	0.4545	0	5	0
CC(C)CC1C2=C(O)C(=C(O)C=C2OC3=C1C(=O)C(C)(C)C(=O)C3(C)C)C(=O)CC(C)C	NCGC00347528-03	CANVASS	1	0	0.4468	1.033	0.4468	1.033	4.028	0.4351	4.028	0.4351	5.422	inf	4.6	0.8792	-0.6589	inf	-	- = 0.85;+ = 0.15;	+	- = 0.0371353;+ = 0.962865;	yes	no = 0.44;yes = 0.56;	very high	low = 0.249967;medium = 0.249967;high = 0.249967;very high = 0.2501;	high	low = 0.35;high = 0.65;	442.5	0	2	0	6	0	100.9	0	0.1471	0	5	0
CC(C)=CCC[C@]1(C)C2CC1C(=C)C(=O)C2	NCGC00488541-01	CANVASS	1	0	2.722	0.7036	2.722	0.7036	4.031	0.4351	4.031	0.4351	4.599	0.6013	4.927	0.5431	0.4274	0.3585	+	- = 0.14;+ = 0.86;	+	- = 0.0371353;+ = 0.962865;	no	no = 0.82;yes = 0.18;	very high	low = 0.125;medium = 0.125;high = 0.125;very high = 0.625;	low	low = 0.6;high = 0.4;	218.3	0	0	0	1	0	17.07	0	0.1765	0	3	0
CC(C)(Br)C(Cl)CC(Br)[C@](C)(Cl)C=CBr	NCGC00488568-01	CANVASS	1	0	1.382	1.033	1.382	1.033	4.147	0.4351	4.147	0.4351	4.977	0.6013	5.237	0.5681	0.6835	0.3585	+	- = 0.16;+ = 0.84;	+	- = 0.0371353;+ = 0.962865;	no	no = 0.79;yes = 0.21;	medium	low = 0.0588235;medium = 0.647059;high = 0.235294;very high = 0.0588235;	low	low = 0.76;high = 0.24;	445.8	0	0	0	0	0	0	0	0.3571	0	5	0
CCC1C[C@@]2(CC)OC(=O)[C@@]3(CC)C(CC)C1C23	NCGC00488451-01	CANVASS	1	0	1.939	1.033	1.939	1.033	4.184	0.4351	4.184	0.4351	4.509	0.6013	4.572	0.5736	0.2897	0.3585	+	- = 0.18;+ = 0.82;	+	- = 0.0371353;+ = 0.962865;	no	no = 0.83;yes = 0.17;	very high	low = 0.125;medium = 0.125;high = 0.1865;very high = 0.5625;	low	low = 0.5001;high = 0.4999;	250.4	0	0	0	2	0	26.3	0	0.2	0	4	0
CC(=C)CCC(CC1=C2OC(CC(=O)C2=C(O)C=C1O)C3=CC=C(O)C=C3)C(C)=C	NCGC00488552-01	CANVASS	1	0	1.08	1.033	1.08	1.033	4.218	0.4351	4.218	0.4351	5.435	inf	5.67	0.6633	-0.4186	inf	-	- = 0.87;+ = 0.13;	+	- = 0.0371353;+ = 0.962865;	yes	no = 0.44;yes = 0.56;	high	low = 0.0454545;medium = 0.227273;high = 0.5;very high = 0.227273;	high	low = 0.28;high = 0.72;	408.5	0	3	0	5	0	86.99	0	0.2188	0	7	0
CCC(C)C(=O)OC1CC2[C@@](C)(CCC(=C)C=C)C(C)CC(OC)[C@@]23C(OC(OC(C)=O)C3=C1)OC(C)=O	NCGC00488469-01	CANVASS	1	0	0.2411	1.033	0.2411	1.033	4.238	0.4351	4.238	0.4351	5.044	0.6013	4.951	0.8125	-0.2574	inf	-	- = 0.83;+ = 0.17;	+	- = 0.136364;+ = 0.863636;	yes	no = 0.22;yes = 0.78;	very high	low = 0.249967;medium = 0.249967;high = 0.249967;very high = 0.2501;	low	low = 0.66;high = 0.34;	532.7	0	0	0	8	0	97.36	0	0.325	0	13	0
COC1=C(O)C=CC(=C1)C2OC3=C(C=C(C=CC)C=C3OC)C2C	NCGC00488791-01	CANVASS	1	0	1.513	0.7036	1.513	0.7036	4.257	0.4351	4.257	0.4351	5.648	0.6013	5.29	0.5735	-0.01052	0.3585	+	- = 0.33;+ = 0.67;	+	- = 0.0371353;+ = 0.962865;	no	no = 0.67;yes = 0.33;	high	low = 0.0454545;medium = 0.227273;high = 0.5;very high = 0.227273;	high	low = 0.34;high = 0.66;	326.4	0	1	0	4	0	47.92	0	0.1538	0	4	0
CC(C)(Cl)C(Br)CC[C@@](Cl)(CBr)C(Cl)=C	NCGC00488570-01	CANVASS	1	0	1.623	1.033	1.623	1.033	4.264	0.4351	4.264	0.4351	4.871	0.6013	5.238	0.5605	0.6267	0.3585	+	- = 0.17;+ = 0.83;	+	- = 0.0371353;+ = 0.962865;	no	no = 0.77;yes = 0.23;	high	low = 0.0625;medium = 0.0625;high = 0.6875;very high = 0.1875;	low	low = 0.81;high = 0.19;	401.4	0	0	0	0	0	0	0	0.4286	0	6	0
COC(=O)[C@@]1(C)CCC[C@@]2(C)C1CCC3=C2C=C(OC)C=C3	NCGC00488763-01	CANVASS	1	0	1.733	0.7036	1.733	0.7036	4.388	0.4351	4.388	0.4351	4.844	0.6013	5.006	0.4528	0.273	0.3585	+	- = 0.24;+ = 0.76;	+	- = 0.0371353;+ = 0.962865;	no	no = 0.68;yes = 0.32;	very high	low = 0.125;medium = 0.125;high = 0.125;very high = 0.625;	high	low = 0.29;high = 0.71;	302.4	0	0	0	3	0	35.53	0	0.125	0	3	0
CC1(C)CCC[C@]2(C)C1CC[C@@]34CC(CCC23)C(C)(O)C4	NCGC00488526-01	CANVASS	1	0	2.036	1.033	2.036	1.033	4.392	0.4351	4.392	0.4351	4.656	inf	5.168	1.025	0.3024	0.3585	+	- = 0.21;+ = 0.79;	+	- = 0.0371353;+ = 0.962865;	no	no = 0.77;yes = 0.23;	very high	low = 0.125;medium = 0.125;high = 0.1865;very high = 0.5625;	high	low = 0.25;high = 0.75;	290.5	0	1	0	1	0	20.23	0	0	0	0	0
CC1(C)CCC[C@@]2(C)C1CC[C@@](C)(O)C2CC[C@](C)(O)C=C	NCGC00017226-04	CANVASS	1	0	1.544	0.7036	1.544	0.7036	4.454	0.4351	4.454	0.4351	4.656	inf	5.297	0.7408	-0.03471	0.3585	+	- = 0.28;+ = 0.72;	+	- = 0.0371353;+ = 0.962865;	no	no = 0.7;yes = 0.3;	very high	low = 0.125;medium = 0.125;high = 0.125;very high = 0.625;	high	low = 0.42;high = 0.58;	308.5	0	2	0	2	0	40.46	0	0.1739	0	4	0
COC1=CC=C(C=C1)C2CC(=O)C3=C(O2)C=C(O)C(=C3O)CC=C(C)CCC=C(C)C	NCGC00488472-01	CANVASS	1	0	0.6189	1.033	0.6189	1.033	4.531	0.4351	4.531	0.4351	5.804	inf	5.923	0.728	-0.08636	inf	-	- = 0.85;+ = 0.15;	+	- = 0.0371353;+ = 0.962865;	yes	no = 0.46;yes = 0.54;	high	low = 0.125;medium = 0.125;high = 0.5;very high = 0.25;	high	low = 0.34;high = 0.66;	422.5	0	2	0	5	0	75.99	0	0.2121	0	7	0
