ID	Structure	bms	sk_struct	idx	closest_order	bucket_id	embedded_hs_coordinates	Dim_1	Dim_2
DB00168	COC(=O)C(CC1=CC=CC=C1)NC(=O)C(N)CC(O)=O	c1ccccc1	6 0 0 1 0 6 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	25	135	160	11;12	11	12
DB00169	CC(C)CCCC(C)[C@H]1CC[C@H]2C(CCC[C@]12C)=CC=C3CC(O)CCC3=C	C=C1CCCCC1=CC=C1CCCC2CCC[C@@H]12	17 2 3 3 0 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 1 0 0 0 3 0	26	11792	13898	44;69	44	69
DB00170	CC1=CC(=O)C2=C(C=CC=C2)C1=O	O=C1C=CC(=O)c2ccccc21	10 0 0 2 0 6 2 0 0 0 0 0 0 2 0 0 2 0 0 0 0 0 0 0 0 2 1 0 0 0 2 0	27	1028	1212	8;45	8	45
DB00172	OC(=O)C1CCCN1	C1CCNC1	5 0 0 1 0 5 0 0 1 0 0 0 1 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	28	22	27	7;3	7	3
DB00173	NC1=NC=NC2=C1[NH]C=N2	c1ncc2[nH]cnc2n1	9 0 0 2 0 6 2 0 4 0 0 0 4 4 0 0 0 4 0 0 0 3 3 0 0 0 1 0 0 0 0 0	29	690	814	10;25	10	25
DB00175	CCC(C)C(=O)OC1CC(O)C=C2C=CC(C)C(CCC(O)CC(O)CC(O)=O)[C@@H]12	C1=CC2=CCCC[C@@H]2CC1	10 0 0 2 0 6 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0	30	888	1047	1;39	1	39
DB00176	COCCCC\C(=N/OCCN)C1=CC=C(C=C1)C(F)(F)F	c1ccccc1	6 0 0 1 0 6 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	31	135	160	11;12	11	12
DB00177	CCCCC(=O)N(CC1=CC=C(C=C1)C2=CC=CC=C2C3=N[NH]N=N3)C(C(C)C)C(O)=O	c1ccc(-c2ccccc2-c2nn[nH]n2)cc1	17 0 0 3 0 6 3 0 4 0 0 0 4 4 0 0 0 4 0 3 2 1 0 0 0 0 3 0 2 1 0 1	32	10463	12331	56;120	56	120
DB00178	CCOC(=O)C(CCC1=CC=CC=C1)NC(C)C(=O)N2[C@H]3CCC[C@H]3CC2C(O)=O	O=C(CNCCCc1ccccc1)N1CC[C@@H]2CCC[C@@H]21	20 6 7 3 0 6 1 0 4 0 0 0 4 3 0 0 1 2 0 0 0 0 1 0 1 0 2 0 1 1 1 1	33	23361	27531	116;228	116	228
DB00179	CC(CC1=CC(=C(O)C=C1)O)C(C)CC2=CC(=C(O)C=C2)O	c1ccc(CCCCc2ccccc2)cc1	16 4 5 2 0 6 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	34	9553	11259	96;124	96	124
