bms	order	scaffold_id	scaffold_key
C=C1CC2CCCC2C1	22	CHEMBL2106497	8 0 0 2 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 WFYDTEDUNIVDKQ-UHFFFAOYSA-N
C=C1CC2CCCC2O1	23	CHEMBL962	8 0 0 2 0 5 0 0 1 0 0 1 0 1 0 0 1 0 0 0 0 0 0 0 1 0 1 0 0 0 1 0 IRTUAQQHNCOIHI-UHFFFAOYSA-N
C1CC2OCCC2O1	24	CHEMBL1200660	8 0 0 2 0 5 0 0 2 0 0 2 0 2 0 0 2 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 PHXGAJLBHUUAKB-UHFFFAOYSA-N
O=C1CC2OCCC2O1	25	CHEMBL2107425	8 0 0 2 0 5 0 0 2 0 0 2 0 3 0 0 3 0 0 0 0 0 1 0 1 0 1 0 0 0 1 0 LMQNXBWPFCVRKT-UHFFFAOYSA-N
O=C1CC2OC(=O)CC2O1	26	CHEMBL2103781	8 0 0 2 0 5 0 0 2 0 0 2 0 4 0 0 4 0 0 0 0 0 1 0 2 0 1 0 0 0 2 0 YLPYBXGWNMUHNE-UHFFFAOYSA-N
C1CC2OCOC2O1	27	CHEMBL1256946	8 0 0 2 0 5 0 0 3 0 0 3 0 3 0 0 3 0 0 0 0 2 2 0 0 0 1 0 0 0 0 0 XKLPEOLDMNUMKK-UHFFFAOYSA-N
C1=CC2CCCC2C1	28	CHEMBL2104163	8 0 0 2 0 5 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 KEHFJHPSOFFXBO-UHFFFAOYSA-N
O=C1CC2SCC=CN12	29	CHEMBL482858	8 0 0 2 0 6 0 1 4 0 1 0 3 3 0 1 1 1 0 0 0 1 0 0 2 0 1 0 0 1 1 1 FZEVMBJWXHDLDB-UHFFFAOYSA-N
O=C1CC2CCCOC2C1	30	CHEMBL2103799	9 0 0 2 0 6 0 0 1 0 0 1 0 2 0 0 2 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 UZXOXWRLTQCGOK-UHFFFAOYSA-N
C1CCN2CCCC2C1	31	CHEMBL2105801	9 0 0 2 0 6 0 0 3 0 0 0 3 1 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 HAJKHJOABGFIGP-UHFFFAOYSA-N
c1ncc2nc[nH]c2n1	32	CHEMBL184	9 0 0 2 0 6 2 0 4 0 0 0 4 4 0 0 0 4 0 0 0 3 3 0 0 0 1 0 0 0 0 0 KDCGOANMDULRCW-UHFFFAOYSA-N
c1cc(C2CCCO2)n[nH]1	33	CHEMBL2105330	10 0 0 2 0 5 1 0 3 0 0 1 2 3 0 0 1 2 0 1 0 0 1 0 0 0 1 0 0 0 0 0 YFEXGHZLWGJCQF-UHFFFAOYSA-N
c1csc(C2CCCO2)n1	34	CHEMBL108358	10 0 0 2 0 5 1 0 3 0 1 1 1 3 0 1 1 1 0 0 0 1 3 0 0 0 1 0 0 0 0 0 RHQLFWXOVGGXNV-UHFFFAOYSA-N
c1cn(C2CCCO2)cn1	35	CHEMBL245019	10 0 0 2 0 5 1 0 5 0 0 1 4 3 0 0 1 2 0 0 0 2 1 0 0 0 1 0 0 0 0 0 JZCIGFQDEMYNPA-UHFFFAOYSA-N
c1ncn(C2CCCO2)n1	36	CHEMBL2111108	10 0 0 2 0 5 1 0 6 0 0 1 5 4 0 0 1 3 0 1 0 3 0 0 0 0 1 0 0 0 0 0 CPEMRUPOIVZHBW-UHFFFAOYSA-N
C1=CC2=CCCCC2CC1	37	CHEMBL1144	10 0 0 2 0 6 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 ZGYZCSRPTRJWLK-UHFFFAOYSA-N
c1ncc2c(n1)NCCN2	38	CHEMBL1201774	10 0 0 2 0 6 1 1 4 0 0 0 4 4 0 0 0 4 0 0 0 2 4 0 0 0 1 0 0 0 0 0 IDAICLIJTRXNER-UHFFFAOYSA-N
C1COCC(CC2CO2)C1	39	CHEMBL719	10 1 2 2 0 6 0 0 2 0 0 2 0 2 0 0 2 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 QTCOVWMNKITGNB-UHFFFAOYSA-N
c1cncc(C2CCCN2)c1	40	CHEMBL1448280	11 0 0 2 0 6 1 0 2 0 0 0 2 2 0 0 0 2 0 0 0 0 0 0 0 0 1 0 0 0 0 0 MYKUKUCHPMASKF-UHFFFAOYSA-N
O=C1CC2C3CCCCC3=CN12	41	CHEMBL295691	11 0 0 3 0 6 0 1 3 0 0 0 3 2 0 0 1 1 0 0 0 0 0 0 2 0 2 0 1 1 1 1 KEHGMUWGOHVHJL-UHFFFAOYSA-N
C1CC[C@]2(CO2)C(C2CO2)C1	42	CHEMBL32838	11 0 0 3 1 6 0 0 2 0 0 2 0 2 0 0 2 0 0 0 0 0 0 0 0 0 2 0 1 0 0 0 SOGQPIBUPZABIF-HACHORDNSA-N
C1CNCCNCCNCCN1	43	CHEMBL2111181	12 0 0 1 0 12 0 0 4 0 0 0 4 4 0 0 0 4 0 0 0 0 4 0 0 0 0 0 0 0 0 0 QBPPRVHXOZRESW-UHFFFAOYSA-N
C1=CC(c2ccccc2)CCC1	44	CHEMBL3833333	12 0 0 2 0 6 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 MUSXBUOOSTWNCY-UHFFFAOYSA-N
O=C1CC2SC(C3CCCO3)=CN12	45	CHEMBL556262	12 0 0 3 0 5 0 1 5 0 1 1 3 4 0 1 2 1 0 0 0 1 1 0 3 0 1 0 0 2 1 2 ZGIWWAIOGDZLDI-UHFFFAOYSA-N
C1OC2COC3OCOC3C2O1	46	CHEMBL220492	12 0 0 3 0 6 0 0 5 0 0 5 0 5 0 0 5 0 0 0 0 3 5 0 0 0 3 0 2 2 0 2 SMQYRDCUAAJCHF-UHFFFAOYSA-N
C1OCC2OC3OCOC3C2O1	47	CHEMBL2110720	12 0 0 3 0 6 0 0 5 0 0 5 0 5 0 0 5 0 0 0 0 3 5 0 0 0 3 1 2 3 0 3 IXZJGKCEJOOXEM-UHFFFAOYSA-N
C1CCC(OC2CCOC2)OC1	48	CHEMBL1237068	12 1 2 2 0 6 0 0 3 0 0 3 0 3 0 0 3 0 0 0 0 1 1 0 0 0 0 1 0 0 0 0 DPRDHJGMLALGEA-UHFFFAOYSA-N
C1CCC(OC2CCCO2)OC1	49	CHEMBL2107529	12 1 2 2 0 6 0 0 3 0 0 3 0 3 0 0 3 0 0 0 0 2 0 0 0 0 0 1 0 0 0 0 MBOJVEMNLCGPFY-UHFFFAOYSA-N
c1ccc2c(c1)CC1CCCC1C2	50	CHEMBL1237119	13 0 0 3 0 6 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 2 0 4 0 4 XRNVTNJLZPJZPO-UHFFFAOYSA-N
c1ncc2ncn(C3CCC3)c2n1	51	CHEMBL23550	13 0 0 3 0 6 2 0 6 0 0 0 6 4 0 0 0 4 0 0 0 3 3 0 0 0 3 0 2 2 0 2 MITUOUHDWNCXJX-UHFFFAOYSA-N
O=C1CC2CCCC3CCC=C3C2O1	52	CHEMBL3301617	13 0 0 3 0 7 0 1 1 0 0 1 0 2 0 0 2 0 0 0 0 0 0 0 1 0 1 0 0 1 1 1 JCUNBYYBHDVEEA-UHFFFAOYSA-N
O=C1C=CC(=O)C2=C1CC1C3NC3CN21	53	CHEMBL521078	13 0 0 4 0 6 1 1 4 0 0 0 4 4 0 0 2 2 0 0 0 0 2 0 1 4 3 2 2 4 2 4 MCKMMGGGSZJLHO-UHFFFAOYSA-N
C1CCC(OC2CCOCC2)OC1	54	CHEMBL3707304	13 1 2 2 0 6 0 0 3 0 0 3 0 3 0 0 3 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 QJOHUVSQALEPEL-UHFFFAOYSA-N
C1CCC(OC2CCCOC2)OC1	55	CHEMBL2110674	13 1 2 2 0 6 0 0 3 0 0 3 0 3 0 0 3 0 0 0 0 1 1 0 0 0 0 1 0 0 0 0 LIWARGQXGIOGLQ-UHFFFAOYSA-N
C1CCN(CC2CCCCO2)CC1	56	CHEMBL2105521	13 1 2 2 0 6 0 0 4 0 0 1 3 2 0 0 1 1 0 0 0 0 1 0 0 0 0 1 0 0 0 0 FPXBWEIBEBMSJU-UHFFFAOYSA-N
c1ccc(NC2CCCCO2)cc1	57	CHEMBL490070	13 1 2 2 0 6 1 0 2 0 0 1 1 2 0 0 1 1 0 0 0 1 0 0 0 0 0 1 0 0 0 0 FDOLMZBMSGLFHU-UHFFFAOYSA-N
c1ccc(OC2CCCCO2)cc1	58	CHEMBL462997	13 1 2 2 0 6 1 0 2 0 0 2 0 2 0 0 2 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 SHRDVLUJLDYXSO-UHFFFAOYSA-N
c1ccc(Cc2ccccc2)cc1	59	CHEMBL1200406	13 1 2 2 0 6 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 CZZYITDELCSZES-UHFFFAOYSA-N
O=C1CC2CC(SC3CCNC3)=CN12	60	CHEMBL339323	13 1 2 3 0 5 0 1 5 0 1 0 4 4 0 1 1 2 0 0 0 0 1 0 3 0 1 0 0 1 1 1 OQBCMTMHFNBXLC-UHFFFAOYSA-N
O=C1CC(SC2=CN3C(=O)CC3C2)CN1	61	CHEMBL2105522	13 1 2 3 0 5 0 1 5 0 1 0 4 5 0 1 2 2 0 0 0 0 1 0 4 0 1 0 0 1 2 1 PLIIXFMERASRCI-UHFFFAOYSA-N
O=C1CC2SC(SC3CCSC3)=CN12	62	CHEMBL2105663	13 1 2 3 0 5 0 1 6 0 3 0 3 5 0 3 1 1 0 0 0 2 1 0 4 0 1 0 0 1 1 1 NYJQJRZGOFBIPV-UHFFFAOYSA-N
