scaffold_id	Dim_1	Dim_2	color
scaffold.152009	-8.569945	-63.455315	4
scaffold.137507	60.94121	-5.124651	4
scaffold.131273	48.9821	-44.816494	4
scaffold.139346	35.53898	-44.692398	4
scaffold.131278	17.545694	-19.710333	4
scaffold.136212	-61.502552	-46.552	4
scaffold.139600	49.15867	-16.281073	4
scaffold.152287	-17.49011	-65.20918	4
scaffold.151867	-8.60012	-63.478703	4
scaffold.134544	49.12798	-44.902996	4
scaffold.142738	50.696335	-32.777287	4
scaffold.142860	20.318438	-18.397295	4
scaffold.132394	50.695404	-32.78794	4
scaffold.231822	-43.34268	8.203961	4
scaffold.135262	50.912464	-44.81159	4
scaffold.150807	-7.761785	-62.787964	4
scaffold.132593	50.695457	-32.7976	4
scaffold.126642	5.598459	-52.967365	4
scaffold.150802	-7.7510962	-62.796375	4
scaffold.150808	-7.7430763	-62.762447	4
scaffold.150805	-7.7676353	-62.801296	4
scaffold.186534	-2.4639647	-34.082893	4
scaffold.186533	-2.3197305	-33.91914	4
scaffold.187513	-4.0938106	-24.28079	4
scaffold.187512	-4.168749	-24.37277	4
scaffold.192931	-16.736458	-46.970116	4
scaffold.188089	18.637026	-19.907196	4
scaffold.150813	-7.7752113	-62.807487	4
scaffold.135376	42.803482	-47.596333	4
scaffold.192247	-4.094815	-24.265976	4
scaffold.189278	-4.150028	-24.336376	4
scaffold.201471	-4.1714573	-24.378355	4
scaffold.187863	-4.1796947	-24.396734	4
scaffold.287696	-67.969376	-6.581589	5
scaffold.162773	67.089165	-16.405783	5
scaffold.223888	-69.776474	-3.039116	5
scaffold.226610	-58.20177	-8.36501	5
scaffold.224655	-36.16766	-44.455395	5
scaffold.181658	37.973686	-3.0618503	5
scaffold.185724	-15.244798	-73.19066	5
scaffold.162472	67.58432	-15.936676	5
scaffold.181666	73.89383	13.159137	5
scaffold.158610	63.826736	-6.1679506	5
scaffold.182508	73.89088	13.18913	5
scaffold.181801	73.885284	13.213747	5
scaffold.181900	73.88721	13.187712	5
scaffold.182058	73.88733	13.187724	5
scaffold.183656	-49.50354	-61.62755	5
scaffold.224455	-50.96962	6.789294	5
scaffold.221516	-49.556	6.373156	5
scaffold.127260	61.451874	-33.3717	5
scaffold.151856	49.72399	10.49297	5
scaffold.161907	-1.6150237	-64.620575	5
scaffold.212856	-23.57963	-57.92648	5
scaffold.181883	24.639912	-7.8335643	5
scaffold.202301	10.414405	22.547453	5
scaffold.160180	25.082186	53.8464	5
scaffold.161173	25.082186	53.84642	5
scaffold.194412	-52.908806	18.91052	5
scaffold.195083	-52.920856	18.935661	5
scaffold.226879	-28.479828	12.865325	5
scaffold.193128	-30.180235	12.416344	5
scaffold.174837	14.478755	27.616985	5
scaffold.155638	14.610566	27.54045	5
scaffold.192321	-29.643114	12.751654	5
scaffold.169610	23.534908	4.7929196	5
scaffold.153647	1.5426277	31.102493	5
scaffold.155068	1.640339	30.95635	5
scaffold.153834	-9.271138	15.021	5
scaffold.153557	1.2222426	31.815798	5
scaffold.137138	19.999126	14.051523	5
scaffold.189157	-57.785095	-21.914211	5
scaffold.130307	-1.9388422	-14.98859	5
scaffold.126293	12.0135355	45.757584	5
scaffold.126292	12.0135355	45.757584	5
scaffold.164109	-23.741014	13.63822	5
scaffold.188439	-48.819862	12.067006	5
scaffold.192677	-29.611984	12.709394	5
scaffold.195154	-25.630568	12.180166	5
scaffold.192958	-25.366125	11.493919	5
scaffold.126111	22.757336	5.366951	5
scaffold.130309	-1.9595382	-14.956409	5
scaffold.130308	-1.9955789	-14.938822	5
scaffold.165004	23.103144	-11.969043	5
scaffold.163217	-2.5449688	-16.332132	5
scaffold.224135	-28.761261	13.930118	5
scaffold.130946	3.8837004	37.860847	5
scaffold.162959	-50.494106	-42.706905	5
scaffold.136659	-47.478527	0.24106856	5
scaffold.171567	-2.1956546	-21.311695	5
scaffold.162631	-9.057944	9.724174	5
scaffold.195148	-35.581245	-32.051792	5
scaffold.200436	-45.61984	-23.956213	5
scaffold.200935	-45.637894	-23.991325	5
scaffold.200917	-28.229553	10.434387	5
scaffold.193269	-8.551743	-21.958244	5
scaffold.192562	-36.44515	-35.57763	5
scaffold.214350	-26.902367	21.315203	5
scaffold.224731	-28.186714	10.707251	5
scaffold.163390	-33.258957	-12.987058	5
scaffold.162916	-35.745235	-34.132946	5
scaffold.192657	-31.524979	-14.090262	5
scaffold.195183	-25.767376	12.579421	5
scaffold.183580	-26.97675	18.965752	5
scaffold.163454	-58.116486	-31.747145	5
scaffold.162497	-56.42083	-34.97196	5
scaffold.171079	0.38376677	37.277763	5
scaffold.164643	-54.916504	-51.009323	5
scaffold.162817	-52.9645	-47.334084	5
scaffold.178381	-34.77179	11.772382	5
scaffold.165037	59.75081	52.49984	5
scaffold.140253	23.714977	-9.661835	5
scaffold.145485	22.56923	6.358855	5
scaffold.149322	24.376354	7.8694544	5
scaffold.158667	-39.12505	-6.939657	5
